,tablerownames,ticker,company,constituentStart,constituentEnd,industryCode,industry
456,460,NYT.US Equity,New York Times Co,11/23/1984,12/16/2010,254010,Media
457,461,NYX.US Equity,NYSE Euronext Inc,10/24/2007,11/11/2013,402010,Diversified Financial Services
458,462,O.US Equity,Realty Income Corp,4/6/2015,null,601010,Equity Real Estate Investment Trusts (REITs)
459,463,ODP.US Equity,Office Depot Inc.,6/23/1999,12/16/2010,255040,Specialty Retail
460,464,OI.US Equity,Owens-Illinois Inc.,12/31/2008,11/30/2016,151030,Containers & Packaging
461,465,OKE.US Equity,ONEOK Inc,3/12/2010,null,101020,"Oil, Gas & Consumable Fuels"
462,466,OMC.US Equity,Omnicom Group Inc,12/23/1997,null,502010,Media
463,467,OMX.US Equity,OfficeMax Inc (Old),4/23/1970,6/19/2008,255040,Specialty Retail
464,468,ORCL.US Equity,Oracle Corp.,8/3/1989,null,451030,Software
465,469,ORLY.US Equity,O'Reilly Automotive Inc,3/26/2009,null,255040,Specialty Retail
466,470,OXY.US Equity,Occidental Petroleum Corp,12/9/1982,null,101020,"Oil, Gas & Consumable Fuels"
467,471,PAYX.US Equity,Paychex Inc.,9/30/1998,null,451020,IT Services
468,472,PBCT.US Equity,People's United Financial Inc,11/12/2008,null,401020,Thrifts & Mortgage Finance
469,473,PBG.US Equity,Pepsi Bottling Group Inc.,5/11/2001,2/25/2010,302010,Beverages
470,474,PBI.US Equity,Pitney Bowes Inc,1/1/1970,2/27/2017,202010,Commercial Services & Supplies
471,475,PCAR.US Equity,PACCAR Inc.,10/2/1980,null,201060,Machinery
472,476,PCG.US Equity,PG&E Corp,1/1/1970,1/16/2019,551030,Multi-Utilities
473,477,PCL.US Equity,Plum Creek Timber Company,1/16/2002,2/18/2016,601010,Equity Real Estate Investment Trusts (REITs)
474,478,PCP.US Equity,Precision Castparts Corp,5/31/2007,1/28/2016,201010,Aerospace & Defense
475,479,PDCO.US Equity,Patterson Companies,10/10/2005,3/17/2018,351020,Health Care Providers & Services
476,480,PEAK.US Equity,Healthpeak Properties Inc,3/28/2008,null,601010,Equity Real Estate Investment Trusts (REITs)
477,481,PEG.US Equity,Public Service Enterprise Group Incorporated,1/1/1970,null,551010,Electric Utilities
478,482,PEP.US Equity,"PepsiCo, Inc",1/1/1970,null,302010,Beverages
479,483,PETM.US Equity,PetSmart Inc,10/4/2012,3/10/2015,255040,Specialty Retail
480,484,PFE.US Equity,Pfizer Inc,1/1/1970,null,352020,Pharmaceuticals
481,485,PFG.US Equity,Principal Financial Group Inc,7/19/2002,null,403010,Insurance
482,486,PG.US Equity,The Procter & Gamble Company,1/1/1970,null,303020,Personal Products
483,487,PGL.US Equity,Peoples Energy Corp,1/1/1970,2/20/2007,551020,Gas Utilities
484,488,PGR.US Equity,Progressive Corp.,8/1/1997,null,403010,Insurance
485,489,PH.US Equity,Parker-Hannifin Corp,11/7/1985,null,201060,Machinery
486,490,PHM.US Equity,PulteGroup Inc,4/12/1984,null,252010,Household Durables
487,491,PKI.US Equity,PerkinElmer Inc,5/9/1985,null,351010,Health Care Equipment & Supplies
488,492,PLD.US Equity,Prologis,7/16/2003,null,601010,Equity Real Estate Investment Trusts (REITs)
489,493,PM.US Equity,Philip Morris International Inc,3/28/2008,null,302030,Tobacco
490,494,PMCS.US Equity,PMC-Sierra Inc,8/2/2001,6/28/2007,453010,Semiconductors & Semiconductor Equipment
491,495,PNC.US Equity,PNC Financial Services Group Inc,4/14/1988,null,401010,Commercial Banks
492,496,PNR.US Equity,Pentair plc,9/28/2012,null,201060,Machinery
493,497,PNW.US Equity,Pinnacle West Capital Corp,10/1/1999,null,551030,Multi-Utilities
494,498,POM.US Equity,Pepco Holdings Inc.,11/8/2007,3/23/2016,551010,Electric Utilities
495,499,PPG.US Equity,"PPG Industries, Inc",1/1/1970,null,151010,Chemicals
496,500,PPL.US Equity,PPL Corp.,11/24/1995,null,551010,Electric Utilities
497,501,PRGO.US Equity,Perrigo Company Plc,12/16/2011,null,352020,Pharmaceuticals
498,502,PRU.US Equity,Prudential Financial Inc,7/19/2002,null,403010,Insurance
499,503,PSA.US Equity,Public Storage,8/18/2005,null,601010,Equity Real Estate Investment Trusts (REITs)
500,504,PSX.US Equity,Phillips 66,4/30/2012,null,101020,"Oil, Gas & Consumable Fuels"
501,505,PTV.US Equity,Pactiv Corp,11/4/1999,11/15/2010,151030,Containers & Packaging
502,506,PVH.US Equity,PVH Corp.,2/13/2013,null,252030,"Textiles, Apparel & Luxury Goods"
503,507,PWR.US Equity,Quanta Services Inc.,6/30/2009,null,201030,Construction & Engineering
504,508,PXD.US Equity,Pioneer Natural Resources Co,9/23/2008,null,101020,"Oil, Gas & Consumable Fuels"
505,509,PYPL.US Equity,PayPal Holdings Inc.,7/17/2015,null,451020,IT Services
506,510,QCOM.US Equity,Qualcomm Inc,7/21/1999,null,453010,Semiconductors & Semiconductor Equipment
507,511,QEP.US Equity,QEP Resources Inc,6/30/2010,6/29/2015,101020,"Oil, Gas & Consumable Fuels"
508,512,QLGC.US Equity,QLogic Corp.,12/11/2000,1/13/2011,452030,"Electronic Equipment, Instruments & Components"
509,513,QRVO.US Equity,Qorvo Inc,6/11/2015,null,453010,Semiconductors & Semiconductor Equipment
510,514,R.US Equity,Ryder System Inc,12/30/1982,6/17/2017,203040,Road & Rail
511,515,RAI.US Equity,Reynolds American Inc.,9/3/2002,7/24/2017,302030,Tobacco
512,516,RCL.US Equity,Royal Caribbean Cruises Ltd,12/4/2014,null,253010,"Hotels, Restaurants & Leisure"
513,517,RDC.US Equity,Rowan Companies plc,1/10/1985,8/17/2014,101010,Energy Equipment & Services
514,518,REGN.US Equity,Regeneron Pharmaceuticals Inc.,4/30/2013,null,352010,Biotechnology
515,519,RF.US Equity,Regions Financial Corp.,8/27/1998,null,401010,Commercial Banks
516,520,RHI.US Equity,Robert Half Int'l Inc,12/4/2000,null,202020,Professional Services
517,521,RHT.US Equity,Red Hat Inc.,7/24/2009,7/8/2019,451030,Software
518,522,RIG.US Equity,Transocean Ltd,12/30/1999,12/17/2008,101010,Energy Equipment & Services
519,523,RIG.US Equity,Transocean Ltd,10/28/2013,7/24/2017,101010,Energy Equipment & Services
520,524,RL.US Equity,Ralph Lauren Corp,2/1/2007,null,252030,"Textiles, Apparel & Luxury Goods"
521,525,ROH.US Equity,Rohm & Hass Co,9/16/1982,3/31/2009,151010,Chemicals
522,526,ROK.US Equity,"Rockwell Automation, Inc",1/1/1970,null,201040,Electrical Equipment
523,527,ROP.US Equity,Roper Technologies Inc,12/22/2009,null,201050,Industrial Conglomerates
524,528,ROST.US Equity,Ross Stores Inc,12/18/2009,null,255040,Specialty Retail
525,529,RRC.US Equity,Range Resources Corp.,12/20/2007,6/14/2018,101020,"Oil, Gas & Consumable Fuels"
526,530,RRD.US Equity,RR Donnelley & Sons Co,7/19/1984,12/10/2012,202010,Commercial Services & Supplies
527,531,RSG.US Equity,Republic Services Inc.,12/4/2008,null,202010,Commercial Services & Supplies
528,532,RTX.US Equity,Raytheon Co.,1/1/1970,null,201010,Aerospace & Defense
529,533,RX.US Equity,Ims Health Inc,1/1/1970,2/25/2010,351020,Health Care Providers & Services
530,534,S.US Equity,Sprint Corp,7/27/1989,7/7/2013,501020,Wireless Telecommunication Services
531,535,SANM.US Equity,Sanmina Corp.,6/20/2000,6/28/2007,452030,"Electronic Equipment, Instruments & Components"
532,536,SBL.US Equity,Symbol Technologies Inc,12/8/2000,1/8/2007,452030,"Electronic Equipment, Instruments & Components"
533,537,SBUX.US Equity,Starbucks Corp.,6/7/2000,null,253010,"Hotels, Restaurants & Leisure"
534,538,SCG.US Equity,SCANA Corp.,12/31/2008,12/30/2018,551030,Multi-Utilities
535,539,SCHW.US Equity,Charles Schwab Corp.,5/30/1997,null,402030,Capital Markets
536,540,SEE.US Equity,Sealed Air Corp.,3/31/1998,null,151030,Containers & Packaging
537,541,SEP.US Equity,Spectra Energy Corp.,12/29/2006,2/26/2017,101020,"Oil, Gas & Consumable Fuels"
538,542,SGP.US Equity,Schering-Plough Corp.,1/1/1970,11/2/2009,352020,Pharmaceuticals
539,543,SHLD.US Equity,Sears Holdings Corp,3/24/2005,9/3/2012,255030,Multiline Retail
540,544,SHW.US Equity,The Sherwin-Williams Company,1/1/1970,null,151010,Chemicals
541,545,SIAL.US Equity,Sigma-Aldrich Corp.,9/20/1994,11/17/2015,151010,Chemicals
542,546,SIG.US Equity,Signet Jewelers Ltd,7/28/2015,3/17/2018,255040,Specialty Retail
543,547,SII.US Equity,Smith Int'l Inc,9/29/2006,8/25/2010,101010,Energy Equipment & Services
544,548,SITC.US Equity,SITE Centers Corp,3/22/2007,3/26/2009,601010,Equity Real Estate Investment Trusts (REITs)
545,549,SJM.US Equity,J. M. Smucker Co,11/5/2008,null,302020,Food Products
546,550,SLB.US Equity,Schlumberger Limited,1/1/1970,null,101010,Energy Equipment & Services
547,551,SLG.US Equity,SL Green Realty,3/20/2015,null,601010,Equity Real Estate Investment Trusts (REITs)
548,552,SLM.US Equity,SLM Corp.,6/30/1998,4/30/2014,402020,Consumer Finance
549,553,SLR.US Equity,Solectron Corp.,12/30/1998,9/30/2007,452030,"Electronic Equipment, Instruments & Components"
550,554,SNA.US Equity,Snap-On Inc.,9/16/1982,null,201060,Machinery
551,555,SNDK.US Equity,SanDisk Corp,4/19/2006,5/11/2016,452020,Computers & Peripherals
552,556,SNI.US Equity,Scripps Networks Interactive Inc,6/30/2008,3/5/2018,254010,Media
553,557,SNV.US Equity,Synovus Financial Corp.,11/26/1997,12/30/2007,401010,Commercial Banks
554,558,SO.US Equity,The Southern Company,1/1/1970,null,551010,Electric Utilities
555,559,SOV.US Equity,Sovereign Bancorp Inc,6/30/2004,1/28/2009,401010,Commercial Banks
556,560,SPG.US Equity,Simon Property Group,6/25/2002,null,601010,Equity Real Estate Investment Trusts (REITs)
557,561,SPGI.US Equity,S&P Global Inc,1/1/1970,null,402030,Capital Markets
558,562,SPLS.US Equity,Staples Inc.,10/6/1998,9/12/2017,255040,Specialty Retail
559,563,SRCL.US Equity,Stericycle Inc.,11/18/2008,11/29/2018,202010,Commercial Services & Supplies
560,564,SRE.US Equity,Sempra Energy,6/29/1998,null,551030,Multi-Utilities
561,565,SSP.US Equity,E. W. Scripps Co,12/19/2005,6/29/2008,254010,Media
562,566,STI.US Equity,SunTrust Banks Inc,5/5/1988,12/5/2019,401010,Commercial Banks
563,567,STJ.US Equity,St. Jude Medical Inc,11/30/1989,1/3/2017,351010,Health Care Equipment & Supplies
564,568,STR.US Equity,Questar Corp.,11/30/2006,6/29/2010,551020,Gas Utilities
565,569,STT.US Equity,State Street Corp.,8/15/1997,null,402030,Capital Markets
566,570,STX.US Equity,Seagate Technology plc,6/29/2012,null,452020,Computers & Peripherals
567,571,STZ.US Equity,Constellation Brands Inc,7/1/2005,null,302010,Beverages
568,572,SVU.US Equity,Supervalu Inc.,1/31/1985,4/29/2012,301010,Food & Staples Retailing
569,573,SWK.US Equity,Stanley Black & Decker Inc,9/16/1982,null,201060,Machinery
570,574,SWKS.US Equity,Skyworks Solutions Inc.,3/11/2015,null,453010,Semiconductors & Semiconductor Equipment
571,575,SWN.US Equity,Southwestern Energy Co,6/6/2008,4/2/2017,101020,"Oil, Gas & Consumable Fuels"
572,576,SWY.US Equity,Safeway Inc.,11/12/1998,1/25/2015,301010,Food & Staples Retailing
573,577,SYF.US Equity,Synchrony Financial,11/17/2015,null,402020,Consumer Finance
574,578,SYK.US Equity,Stryker Corp.,12/11/2000,null,351010,Health Care Equipment & Supplies
575,579,SYY.US Equity,Sysco Corp.,12/18/1986,null,301010,Food & Staples Retailing
576,580,T.US Equity,AT&T Inc.,12/1/1983,null,501010,Diversified Telecommunication Services
577,581,TAP.US Equity,Molson Coors Brewing Co.,7/1/1976,null,302010,Beverages
578,582,TDC.US Equity,Teradata Corp.,9/28/2007,6/17/2017,451020,IT Services
579,583,TDG.US Equity,TransDigm Group,6/2/2016,null,201010,Aerospace & Defense
580,584,TE.US Equity,TECO Energy Inc,10/9/2001,6/29/2016,551030,Multi-Utilities
581,585,TEG.US Equity,Integrys Energy Group,2/21/2007,6/29/2015,551030,Multi-Utilities
582,586,TEK.US Equity,Tektronix Inc.,1/1/1970,11/14/2007,452030,"Electronic Equipment, Instruments & Components"
583,587,TEL.US Equity,TE Connectivity Ltd,6/29/2007,6/24/2009,452030,"Electronic Equipment, Instruments & Components"
584,588,TEL.US Equity,TE Connectivity Ltd,10/14/2011,null,452030,"Electronic Equipment, Instruments & Components"
585,589,TER.US Equity,Teradyne Inc,11/12/1999,12/19/2013,453010,Semiconductors & Semiconductor Equipment
586,590,TEX.US Equity,Terex Corp.,12/19/2006,11/4/2008,201060,Machinery
587,591,TFC.US Equity,Truist Financial Corp,12/3/1997,null,401010,Commercial Banks
588,592,TGNA.US Equity,TEGNA Inc,12/11/1975,5/31/2017,254010,Media
589,593,TGT.US Equity,Target Corp.,12/9/1976,null,255030,Multiline Retail
590,594,THC.US Equity,Tenet Healthcare Corp.,2/8/1979,4/14/2016,351020,Health Care Providers & Services
591,595,TIF.US Equity,Tiffany & Co.,6/20/2000,null,252030,"Textiles, Apparel & Luxury Goods"
592,596,TIN.US Equity,Temple-Inland Inc.,12/18/1986,12/27/2007,151030,Containers & Packaging
593,597,TJX.US Equity,TJX Companies Inc.,9/26/1985,null,255040,Specialty Retail
594,598,TLAB.US Equity,Tellabs Inc.,6/30/1995,12/19/2011,452010,Communications Equipment
595,599,TMO.US Equity,Thermo Fisher Scientific Inc,12/31/1996,null,351010,Health Care Equipment & Supplies
596,600,TMUS.US Equity,T-Mobile US Inc,6/29/2009,4/29/2013,501020,Wireless Telecommunication Services
597,601,TPR.US Equity,Tapestry Inc.,8/31/2004,null,252030,"Textiles, Apparel & Luxury Goods"
598,602,TRB.US Equity,Tribune Co,1/1/1970,12/20/2007,254010,Media
599,603,TRIP.US Equity,TripAdvisor Inc,12/20/2011,12/19/2019,502030,Interactive Media & Services
600,604,TROW.US Equity,T. Rowe Price Group Inc,10/12/1999,null,402030,Capital Markets
601,605,TRV.US Equity,Travelers Companies Inc,7/1/1976,null,403010,Insurance
602,606,TSCO.US Equity,Tractor Supply Co.,1/23/2014,null,255040,Specialty Retail
603,607,TSN.US Equity,Tyson Foods Inc,8/10/2005,null,302020,Food Products
604,608,TT.US Equity,Trane Inc.,5/10/2002,6/5/2008,201060,Machinery
605,609,TT.US Equity,Trane Technologies plc,11/16/2010,null,201060,Machinery
606,610,TT.US Equity,Trane Technologies plc,1/1/1970,6/29/2009,201060,Machinery
607,611,TWC.US Equity,Time Warner Cable Inc.,3/27/2009,5/16/2016,254010,Media
608,612,TWX.US Equity,Time Warner Inc.,12/31/1998,6/15/2018,254010,Media
609,613,TXN.US Equity,Texas Instruments Incorporated,1/1/1970,null,453010,Semiconductors & Semiconductor Equipment
610,614,TXU.US Equity,TXU Corp.,1/1/1970,10/8/2007,551050,Independent Power Producers & Energy Traders
611,615,UA.US Equity,Under Armour Inc Class C,4/14/2016,null,252030,"Textiles, Apparel & Luxury Goods"
612,616,UAA.US Equity,Under Armour Class A,4/30/2014,null,252030,"Textiles, Apparel & Luxury Goods"
613,617,UAL.US Equity,United Continental Holdings Inc,9/2/2015,null,203020,Airlines
614,618,UDR.US Equity,UDR Inc,3/4/2016,null,601010,Equity Real Estate Investment Trusts (REITs)
615,619,UHS.US Equity,Universal Health Services Inc,9/19/2014,null,351020,Health Care Providers & Services
616,620,UIS.US Equity,Unisys Corp.,1/1/1970,11/9/2008,451020,IT Services
617,621,ULTA.US Equity,Ulta Salon Cosmetics & Fragrance Inc,4/15/2016,null,255040,Specialty Retail
618,622,UNH.US Equity,UnitedHealth Group Inc,6/30/1994,null,351020,Health Care Providers & Services
619,623,UNM.US Equity,Unum Group,3/10/1994,null,403010,Insurance
620,624,UNP.US Equity,Union Pacific Corporation,1/1/1970,null,203040,Road & Rail
621,625,UPS.US Equity,United Parcel Service Inc,7/19/2002,null,203010,Air Freight & Logistics
622,626,URBN.US Equity,Urban Outfitters Inc,2/5/2010,3/18/2017,255040,Specialty Retail
623,627,URI.US Equity,United Rentals Inc,9/19/2014,null,201070,Trading Companies & Distributors
624,628,USB.US Equity,U.S. Bancorp,12/31/1998,null,401010,Commercial Banks
625,629,UTX.US Equity,United Technologies Corporation,1/1/1970,null,201010,Aerospace & Defense
626,630,UVN.US Equity,Univision Comm Inc,2/6/2001,3/27/2007,254010,Media
627,631,V.US Equity,Visa Inc.,12/18/2009,null,451020,IT Services
628,632,VAL.US Equity,Ensco plc,1/1/1970,12/21/2009,101010,Energy Equipment & Services
629,633,VAL.US Equity,Ensco plc,7/30/2012,3/28/2016,101010,Energy Equipment & Services
630,634,VAL.US Equity,Valaris plc,1/3/2007,null,101010,Energy Equipment & Services
631,635,VFC.US Equity,VF Corp,5/3/1979,null,252030,"Textiles, Apparel & Luxury Goods"
632,636,VIAB.US Equity,Viacom Inc.,12/30/2005,12/3/2019,502020,Entertainment
633,637,VIAC.US Equity,ViacomCBS Inc,9/29/1994,null,502010,Media
634,638,VIAV.US Equity,VIAVI Solutions Inc,7/26/2000,12/19/2013,452010,Communications Equipment
635,639,VLO.US Equity,Valero Energy Corp,4/28/2004,null,101020,"Oil, Gas & Consumable Fuels"
636,640,VMC.US Equity,Vulcan Materials Co,6/30/1999,null,151020,Construction Materials
637,641,VNO.US Equity,Vornado Realty Trust,8/11/2005,null,601010,Equity Real Estate Investment Trusts (REITs)
638,642,VRSK.US Equity,Verisk Analytics Inc,10/7/2015,null,202020,Professional Services
639,643,VRSN.US Equity,Verisign Inc.,1/31/2006,null,451020,IT Services
640,644,VRTX.US Equity,Vertex Pharmaceuticals Inc.,9/20/2013,null,352010,Biotechnology
641,645,VTR.US Equity,Ventas Inc.,3/3/2009,null,601010,Equity Real Estate Investment Trusts (REITs)
642,646,VZ.US Equity,Verizon Communications Inc,12/1/1983,null,501010,Diversified Telecommunication Services
643,647,WAT.US Equity,Waters Corp.,12/31/2001,null,351020,Health Care Providers & Services
644,648,WBA.US Equity,Walgreens Boots Alliance Inc,10/11/1979,null,301010,Food & Staples Retailing
645,649,WDC.US Equity,Western Digital Corp,6/30/2009,null,452020,Computers & Peripherals
646,650,WEC.US Equity,WEC Energy Group Inc,10/30/2008,null,551010,Electric Utilities
647,651,WELL.US Equity,Welltower Inc,1/29/2009,null,601010,Equity Real Estate Investment Trusts (REITs)
648,652,WEN.US Equity,Wendy's International,3/4/1982,9/28/2008,253010,"Hotels, Restaurants & Leisure"
649,653,WFC.US Equity,Wells Fargo & Co,7/1/1976,null,401010,Commercial Banks
650,654,WFM.US Equity,Whole Foods Market Inc,12/30/2005,8/27/2017,301010,Food & Staples Retailing
651,655,WHR.US Equity,Whirlpool Corporation,1/1/1970,null,252010,Household Durables
652,656,WIN.US Equity,Windstream Holdings Inc,7/17/2006,4/5/2015,501010,Diversified Telecommunication Services
653,657,WLTW.US Equity,Willis Towers Watson,1/4/2016,null,403010,Insurance
654,658,WM.US Equity,Waste Management Inc.,7/16/1998,null,202010,Commercial Services & Supplies
655,659,WMB.US Equity,Williams Companies Inc,2/6/1975,null,101020,"Oil, Gas & Consumable Fuels"
656,660,WMT.US Equity,Wal-Mart Stores Inc,8/19/1982,null,301010,Food & Staples Retailing
657,661,WPX.US Equity,WPX Energy Inc,12/30/2011,3/20/2014,101020,"Oil, Gas & Consumable Fuels"
658,662,WRK.US Equity,WestRock Company,1/1/1970,null,151030,Containers & Packaging
659,663,WU.US Equity,Western Union Co.,9/29/2006,null,451020,IT Services
660,664,WWY.US Equity,Wrigley Co.,1/1/1970,10/2/2008,302020,Food Products
661,665,WY.US Equity,Weyerhaeuser Company,1/1/1970,null,601010,Equity Real Estate Investment Trusts (REITs)
662,666,WYE.US Equity,Wyeth Corp.,1/1/1970,10/14/2009,352020,Pharmaceuticals
663,667,WYND.US Equity,Wyndham Destinations Inc,7/31/2006,5/29/2018,253010,"Hotels, Restaurants & Leisure"
664,668,WYNN.US Equity,Wynn Resorts Ltd,11/13/2008,null,253010,"Hotels, Restaurants & Leisure"
665,669,X.US Equity,United States Steel Corp,5/6/1991,6/30/2014,151040,Metals & Mining
666,670,XEC.US Equity,Cimarex Energy Co,6/20/2014,3/1/2020,101020,"Oil, Gas & Consumable Fuels"
667,671,XEL.US Equity,Xcel Energy Inc,1/1/1970,null,551030,Multi-Utilities
668,672,XL.US Equity,XL Group Ltd,8/31/2001,9/12/2018,403010,Insurance
669,673,XLNX.US Equity,Xilinx Inc.,11/5/1999,null,453010,Semiconductors & Semiconductor Equipment
670,674,XOM.US Equity,Exxon Mobil Corporation,1/1/1970,null,101020,"Oil, Gas & Consumable Fuels"
671,675,XRAY.US Equity,Dentsply Sirona Inc,11/13/2008,null,351010,Health Care Equipment & Supplies
672,676,XRX.US Equity,Xerox Holdings Corporation,1/1/1970,null,452020,Computers & Peripherals
673,677,XTO.US Equity,XTO Energy Inc.,12/28/2004,6/25/2010,101020,"Oil, Gas & Consumable Fuels"
674,678,XYL.US Equity,Xylem Inc.,10/31/2011,null,201060,Machinery
675,679,YHOO.US Equity,Yahoo! Inc,12/7/1999,6/16/2017,451010,Internet Software & Services
676,680,YUM.US Equity,Yum! Brands Inc.,10/6/1997,null,253010,"Hotels, Restaurants & Leisure"
677,681,ZBH.US Equity,Zimmer Biomet Holdings Inc,8/6/2001,null,351010,Health Care Equipment & Supplies
678,682,ZION.US Equity,Zions Bancorp,6/22/2001,null,401010,Commercial Banks
679,683,ZTS.US Equity,Zoetis Inc,6/21/2013,null,352020,Pharmaceuticals
